feature,sentiment
 aalen ,1
 aalglatt ,-1
 aasen ,-1
 aasig ,-1
 abandon ,-1
 abarbeiten ,-1
 abart ,-1
 abartig ,-1
 abbau ,-1
 abbaue ,-1
 abbauen ,-1
 abbaues ,-1
 abbaus ,-1
 abbauwürdig ,1
 abbildungsfehler ,-1
 abbildverzerrung ,-1
 abbinden ,-1
 abblendung ,-1
 abblocken ,-1
 abbohrung ,-1
 abbrechen ,-1
 abbringen ,-1
 abbröckeln ,-1
 abbruch ,-1
 abbrüche ,-1
 abbrüchen ,-1
 abbruches ,-1
 abbruchreif ,-1
 abbruchs ,-1
 abbruchstelle ,-1
 abdampf ,-1
 abdämpfen ,-1
 abdämpfung ,-1
 abdämpfungen ,-1
 abdank ,-1
 abdanke ,-1
 abdanken ,-1
 abdankest ,-1
 abdanket ,-1
 abdankst ,-1
 abdankt ,-1
 abdankte ,-1
 abdankten ,-1
 abdanktest ,-1
 abdanktet ,-1
 abdankung ,-1
 abdankungen ,-1
 abdecken ,-1
 abdrosseln ,-1
 abebben ,-1
 abenteuerlichkeit ,-1
 abenteuerpolitik ,-1
 aberglaube ,-1
 abergläubig ,-1
 abergläubisch ,-1
 aberkennen ,-1
 aberkennung ,-1
 aberration ,-1
 aberwitzig ,-1
 abfall ,-1
 abfallbrennstoff ,-1
 abfälle ,-1
 abfallen ,-1
 abfällen ,-1
 abfalles ,-1
 abfällig ,-1
 abfällige ,-1
 abfälligem ,-1
 abfälligen ,-1
 abfälliger ,-1
 abfälligere ,-1
 abfälligerem ,-1
 abfälligeren ,-1
 abfälligerer ,-1
 abfälligeres ,-1
 abfälliges ,-1
 abfälligst ,-1
 abfälligste ,-1
 abfälligstem ,-1
 abfälligsten ,-1
 abfälligster ,-1
 abfälligstes ,-1
 abfallkorb ,-1
 abfallprodukt ,-1
 abfallquote ,-1
 abfalls ,-1
 abfallstoff ,-1
 abfallstoffe ,-1
 abfallstück ,-1
 abfallstutzen ,-1
 abfangschirm ,1
 abflauen ,-1
 abfluss ,-1
 abflussgraben ,-1
 abforderung ,-1
 abformung ,-1
 abfuhr ,-1
 abführ ,-1
 abführe ,-1
 abfuhren ,-1
 abführen ,-1
 abführest ,-1
 abführet ,-1
 abführst ,-1
 abführt ,-1
 abführte ,-1
 abführten ,-1
 abführtest ,-1
 abführtet ,-1
 abgang ,-1
 abgas ,-1
 abgaskanal ,-1
 abgearbeitet ,-1
 abgebrannt ,-1
 abgebrochen ,-1
 abgebrüht ,-1
 abgedankt ,-1
 abgedroschen ,-1
 abgedroschene ,-1
 abgedroschenem ,-1
 abgedroschenen ,-1
 abgedroschener ,-1
 abgedroschenere ,-1
 abgedroschenerem ,-1
 abgedroscheneren ,-1
 abgedroschenerer ,-1
 abgedroscheneres ,-1
 abgedroschenes ,-1
 abgedroschenst ,-1
 abgedroschenste ,-1
 abgedroschenstem ,-1
 abgedroschensten ,-1
 abgedroschenster ,-1
 abgedroschenstes ,-1
 abgedroschner ,-1
 abgedroschnere ,-1
 abgedroschnerem ,-1
 abgedroschneren ,-1
 abgedroschnerer ,-1
 abgedroschneres ,-1
 abgefahren ,1
 abgeführt ,-1
 abgehackt ,-1
 abgehärmt ,-1
 abgehärtet ,-1
 abgeheilt ,1
 abgehend ,1
 abgehoben ,-1
 abgekämpft ,-1
 abgeklärtheit ,1
 abgelagert ,1
 abgelaufen ,-1
 abgelegen ,-1
 abgelehnt ,-1
 abgelenkt ,-1
 abgelten ,-1
 abgemacht ,1
 abgemagert ,-1
 abgemergelt ,-1
 abgeneigt ,-1
 abgenutzt ,-1
 abgerissen ,-1
 abgeschieden ,-1
 abgeschiedenheit ,-1
 abgeschlagenheit ,-1
 abgeschliffen ,-1
 abgeschlossen ,-1
 abgeschlossenheit ,1
 abgeschmackt ,-1
 abgeschnitten ,-1
 abgeschottet ,-1
 abgeschreckt ,-1
 abgeschwächt ,-1
 abgesehen ,-1
 abgesichert ,1
 abgesondert ,-1
 abgespannt ,-1
 abgespanntheit ,-1
 abgestanden ,-1
 abgestandene ,-1
 abgestandenem ,-1
 abgestandenen ,-1
 abgestandener ,-1
 abgestandenere ,-1
 abgestandenerem ,-1
 abgestandeneren ,-1
 abgestandenerer ,-1
 abgestandeneres ,-1
 abgestandenes ,-1
 abgestandenst ,-1
 abgestandenste ,-1
 abgestandenstem ,-1
 abgestandensten ,-1
 abgestandenster ,-1
 abgestandenstes ,-1
 abgestandner ,-1
 abgestandnere ,-1
 abgestandnerem ,-1
 abgestandneren ,-1
 abgestandnerer ,-1
 abgestandneres ,-1
 abgestimmt ,1
 abgestorben ,-1
 abgestoßen ,-1
 abgestuft ,-1
 abgestumpft ,-1
 abgestumpftheit ,-1
 abgestürzt ,-1
 abgetakelt ,-1
 abgetakelte ,-1
 abgetakeltem ,-1
 abgetakelten ,-1
 abgetakelter ,-1
 abgetakeltere ,-1
 abgetakelterem ,-1
 abgetakelteren ,-1
 abgetakelterer ,-1
 abgetakelteres ,-1
 abgetakeltes ,-1
